Org Code,Sub-portals,Research Themes,Departments/Colleges/Labs/Centers,Parent Organization
3504,arts_design,Arts & Design,School of Art,College of Fine Arts
3508,arts_design,Arts & Design,School of Dance,College of Fine Arts
3503,arts_design,Arts & Design,School of Music,College of Fine Arts
3509,arts_design,Arts & Design,Sch Theatre Film & Television,College of Fine Arts
1004,arts_design,Arts & Design,School of Architecture,Col Arch Plan & Landscape Arch
BUSN,business_econ,Business & Economics,Eller College of Management,Academic Affairs Provost
3009,business_econ,Business & Economics,Economics,Eller College of Management
3204,education,Education,Disability Psychoeduc Studies,College of Education
3221,education,Education,Educatnl Policy Studies Pract,College of Education
3211,education,Education,Educational Psychology,College of Education
3222,education,Education,Teachg Learning Sociocult Stds,College of Education
3205,education,Education,Higher Education,College of Education
3216,education,Education,Education Administration,College of Education
429,humanities,Humanities,English,College of Social & Behav Sci
435,humanities,Humanities,Africana Studies,College of Humanities
2506,humanities,Humanities,English as a Second Language,College of Humanities
439,humanities,Humanities,East Asian Studies,College of Humanities
440,humanities,Humanities,French and Italian,College of Humanities
424,humanities,Humanities,German Studies,College of Humanities
428,humanities,Humanities,Philosophy,College of Social & Behav Sci
472,humanities,Humanities,Public & Applied Humanities,College of Humanities
405,humanities,Humanities,Religious Studies and Classics,College of Humanities
409,humanities,Humanities,Russian and Slavic Studies,College of Humanities
456,humanities,Humanities,Second Language Acquisition Teaching,College of Humanities
441,humanities,Humanities,Spanish and Portuguese,College of Humanities
LAWC,law,Law,James E Rogers College of Law,Academic Affairs Provost
404,astro,Astrophysics,Steward Observatory,College of Science
423,sci_math,Science & Mathematics,Psychology,College of Science
420,sci_math,Science & Mathematics,Ecology & Evolutionary Biology,College of Science
3502,sci_math,Science & Mathematics,Speech Language & Hearing Sci,College of Science
1205,sci_math,Science & Mathematics,Geosciences,College of Science
469,sci_math,Science & Mathematics,Hydrology & Atmospheric Sci,College of Science
411,physics,Physics,Physics,College of Science
413,sci_math,Science & Mathematics,Lunar and Planetary Laboratory,College of Science
412,sci_math,Science & Mathematics,Computer Science,College of Science
430,sci_math,Science & Mathematics,Mathematics,College of Science
2529,neuroscience,Neuroscience,Neuroscience,College of Science
464,sci_math,Science & Mathematics,Cognitive Science,College of Science
2534,sci_math,Science & Mathematics,Sch of Mind Brain & Behavior,College of Science
463,astro,Astrophysics,Large Binocular Telescope Obs,College of Science
471,sci_math,Science & Mathematics,Arizona Geological Survey,College of Science
1204,sci_math,Science & Mathematics,Tree Ring Laboratory,College of Science
2535,sci_math,Science & Mathematics,Sch of Earth & Enviro Sciences,College of Science
2001,sci_math,Science & Mathematics,James C Wyant Coll Optical Sci,James C Wyant Coll Optical Sci
410,social_sci,Social Sciences,School of Anthropology,College of Social & Behav Sci
465,social_sci,Social Sciences,School of Govt & Public Policy,College of Social & Behav Sci
9006,social_sci,Social Sciences,American Indian Studies Prog,College of Social & Behav Sci
3505,social_sci,Social Sciences,Communication,College of Social & Behav Sci
433,social_sci,Social Sciences,Gender and Womens Studies,College of Social & Behav Sci
3008,social_sci,Social Sciences,Sch of Geography & Development,College of Social & Behav Sci
415,social_sci,Social Sciences,History,College of Social & Behav Sci
481,social_sci,Social Sciences,School of Information,College of Social & Behav Sci
419,social_sci,Social Sciences,Journalism,College of Social & Behav Sci
457,social_sci,Social Sciences,AZ Center for Judaic Studies,College of Social & Behav Sci
437,social_sci,Social Sciences,Latin American Area Center,College of Social & Behav Sci
431,social_sci,Social Sciences,Linguistics,College of Social & Behav Sci
432,social_sci,Social Sciences,Mexican American Studies,College of Social & Behav Sci
448,social_sci,Social Sciences,Ctr for Middle Eastern Studies,College of Social & Behav Sci
416,social_sci,Social Sciences,Sch Middle E/N African Studies,College of Social & Behav Sci
418,social_sci,Social Sciences,Sociology,College of Social & Behav Sci
2305,tech_eng,Technology & Engineering,Aerospace & Mechanical Engr,College of Engineering
2328,tech_eng,Technology & Engineering,Biomedical Engineering,College of Engineering
2308,tech_eng,Technology & Engineering,Civil Arch Engr and Mechanics,College of Engineering
2803,tech_eng,Technology & Engineering,Chemical & Environmental Engr,College of Engineering
2303,tech_eng,Technology & Engineering,Electrical and Computer Engr,College of Engineering
2302,tech_eng,Technology & Engineering,Systems and Industrial Engr,College of Engineering
2804,tech_eng,Technology & Engineering,Materials Science & Engr,College of Engineering
2802,tech_eng,Technology & Engineering,Mining & Geological Engr,College of Engineering
153,tech_eng,Technology & Engineering,CALS Comm and Technologies,
