Org Code,Sub-portals,Research Themes,Departments/Colleges/Labs/Centers,Parent Organization
3504,fine_arts,Fine Arts,School of Art,College of Fine Arts
3508,performing_arts,Performing Arts,School of Dance,College of Fine Arts
3503,performing_arts,Performing Arts,School of Music,College of Fine Arts
3509,performing_arts,Performing Arts,Sch Theatre Film & Television,College of Fine Arts
1004,architecture,Architecture,School of Architecture,Col Arch Plan & Landscape Arch
1005,architecture,Architecture,Sch of Landscape Architecture,Col Arch Plan & Landscape Arch
1003,architecture,Architecture,Drachman Institute,Col Arch Plan & Landscape Arch
0201,fine_arts,Fine Arts,Arizona State Museum,RDI Museums Division
3506,performing_arts,Performing Arts,School of Theatre Arts,College of Fine Arts
3507,performing_arts,Performing Arts,School of Media Arts,College of Fine Arts
1001,architecture,Architecture,CAPLA Administration,Col Arch Plan & Landscape Arch
3501,arts_design,Arts & Design,Fine Arts Administration,College of Fine Arts
2D,arts_design,Arts & Design,2D,School of Art
3D,arts_design,Arts & Design,3D,School of Art
ARH,arts_design,Arts & Design,ART HISTORY,School of Art
AVCE,arts_design,Arts & Design,ARTS AND VISUAL CULTURE EDUCATION,School of Art
CERA,fine_arts,Fine Arts,CERAMICS,School of Art
CST,fine_arts,Fine Arts,COSTUME,School of Art
FNDN,arts_design,Arts & Design,FOUNDATIONS,School of Art
GALY,fine_arts,Fine Arts,GALLERIES,School of Art
PHTO,fine_arts,Fine Arts,PHOTOGRAPHY,School of Art
PRNT,arts_design,Arts & Design,PRINTMAKING,School of Art
PTDR,fine_arts,Fine Arts,PAINTING AND DRAWING,School of Art
SCLP,fine_arts,Fine Arts,SCULPTURE,School of Art
VISC,arts_design,Arts & Design,VISUAL COMMUNICATIONS,School of Art
VRC,arts_design,Arts & Design,VISUAL RESOURCE CENTER,School of Art
AJDS,performing_arts,Performing Arts,AZ JASS DANCE SHOWCASE,School of Dance
CNTS,performing_arts,Performing Arts,SEASON CONCERTS,School of Dance
GC,performing_arts,Performing Arts,GRADUATE STUDENT CONCERT,School of Dance
SEDT,performing_arts,Performing Arts,STEVIE ELLER DANCE THEATRE,School of Dance
ESTE,arts_design,Arts & Design,LARRY ESTES,School of Media Arts
HARA,arts_design,Arts & Design,MB HARALOVICH,School of Media Arts
JENK,arts_design,Arts & Design,JENNY JENKINS,School of Media Arts
MAKI,arts_design,Arts & Design,YURI MAKINO,School of Media Arts
MARP,arts_design,Arts & Design,MARPL,School of Media Arts
MULC,arts_design,Arts & Design,MICHAEL MULCAHY,School of Media Arts
OWCZ,arts_design,Arts & Design,KIM OWCZARSKI,School of Media Arts
PETT,arts_design,Arts & Design,HOMER PETTEY,School of Media Arts
RODD,arts_design,Arts & Design,PATRICK RODDY,School of Media Arts
ROOM,arts_design,Arts & Design,DOT ROOME,School of Media Arts
SECK,arts_design,Arts & Design,BEVERLY SECKINGER,School of Media Arts
SELZ,arts_design,Arts & Design,BARBARA SELZNICK,School of Media Arts
SKY,arts_design,Arts & Design,LISANNE SKYLER,School of Media Arts
ADM,arts_design,Arts & Design,TAR ADMIN OFFICE,School of Theatre Arts
LGT,performing_arts,Performing Arts,LIGHTING,School of Theatre Arts
MKT,performing_arts,Performing Arts,MARKETING,School of Theatre Arts
